"Sample_Name","Staining_Protocol","Expt_Date","Date_Measurement","Location","Station_Number","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_Viruses","VBR","HNAperLNA","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31"
"vi201112.018","Viruses","03-09-20","12-11-20","NJ2020",6,1,"0.22",0,3,2046.908316,11567590.62,5651.25,0.142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.041","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VP",0,3,1291471.215,30669722.81,23.747895,0.994094488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.100","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VPC",0,3,1275479.744,27539232.41,21.59127382,1.059670782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.042","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VP",3,1,1232622.601,28593390.19,23.19719772,1.066239316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.101","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VPC",3,1,1168017.058,26577185.5,22.75410734,1.425925926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.043","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VP",3,2,1276119.403,27528997.87,21.57243108,1.030425963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.102","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VPC",3,2,1253731.343,26592537.31,21.21071429,1.304449649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.044","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VP",3,3,1236460.554,27792537.31,22.47749612,1.090517241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.103","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VPC",3,3,1205117.271,27615991.47,22.9156051,1.257756563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.064","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VP",6,1,1198720.682,23096162.05,19.26734258,1.119101124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
