"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","Replicate","VP","VP_SE","VP_R_Squared","VP_Type","VP_Slope"
"NJ2020","1","1","T0_T24","c_Viruses","VP","2",202519.037465734,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T3","c_Viruses","VP","3",0,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T6","c_Viruses","VP","3",0,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T17","c_Viruses","VP","3",200643.535568908,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T20","c_Viruses","VP","3",351245.811757539,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T24","c_Viruses","VP","3",351245.811757539,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T3","c_V1","VP","1",0,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T6","c_V1","VP","1",0,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T17","c_V1","VP","1",131640.369593028,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T20","c_V1","VP","1",206272.012609071,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T24","c_V1","VP","1",310195.124187646,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T3","c_V1","VP","2",0,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T6","c_V1","VP","2",0,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T17","c_V1","VP","2",101988.791984935,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T20","c_V1","VP","2",296984.935431881,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T24","c_V1","VP","2",296984.935431881,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T3","c_V1","VP","3",0,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T6","c_V1","VP","3",0,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T17","c_V1","VP","3",166778.857153945,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T20","c_V1","VP","3",270464.790779242,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T24","c_V1","VP","3",270464.790779242,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T3","c_V2","VP","1",0,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T6","c_V2","VP","1",0,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T17","c_V2","VP","1",12419.6626392484,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T20","c_V2","VP","1",45814.4748935974,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T24","c_V2","VP","1",57369.9951099568,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T3","c_V2","VP","2",30738.9871592834,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T6","c_V2","VP","2",30738.9871592834,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T17","c_V2","VP","2",26258.4172409867,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T20","c_V2","VP","2",40986.6648422599,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T24","c_V2","VP","2",36499.9207547661,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T3","c_V2","VP","3",0,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T6","c_V2","VP","3",0,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T17","c_V2","VP","3",23548.9749396611,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T20","c_V2","VP","3",53413.1737404309,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T24","c_V2","VP","3",42187.9849526796,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T3","c_V3","VP","1",23736.9136091503,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T6","c_V3","VP","1",23736.9136091503,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T17","c_V3","VP","1",14597.1148500962,NA,NA,"VPCL_SR",NA
