"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","VP","VP_SE","VP_R_Squared","VP_Type"
"NJ2020","1","1","T0_T6","c_V3","Diff",1817.1512691494,NA,NA,"VPCL_AR_No_SE"
"NJ2020","1","1","T0_T6","c_Viruses","VP",0,NA,NA,"VPCL_AR_Diff_No_SE"
"NJ2020","1","1","T0_T6","c_V1","VP",0,NA,NA,"VPCL_AR_Diff_No_SE"
"NJ2020","1","1","T0_T6","c_V2","VP",0,NA,NA,"VPCL_AR_Diff_No_SE"
"NJ2020","1","1","T0_T6","c_V3","VP",15686.6344993577,NA,NA,"VPCL_AR_Diff_No_SE"
"NJ2020","1","1","T0_T6","c_Viruses","VPC",146609.808102345,NA,NA,"VPCL_AR_Diff_No_SE"
"NJ2020","1","1","T0_T6","c_V1","VPC",121133.75936523,NA,NA,"VPCL_AR_Diff_No_SE"
"NJ2020","1","1","T0_T6","c_V2","VPC",7972.2629686088,NA,NA,"VPCL_AR_Diff_No_SE"
"NJ2020","1","1","T0_T6","c_V3","VPC",17503.7857685071,NA,NA,"VPCL_AR_Diff_No_SE"
"NJ2020","1","1","T0_T6","c_Viruses","Diff",220653.873489695,NA,NA,"VPCL_AR_Diff_No_SE"
"NJ2020","1","1","T0_T6","c_V1","Diff",179063.987133567,NA,NA,"VPCL_AR_Diff_No_SE"
"NJ2020","1","1","T0_T6","c_V2","Diff",59216.4315409822,NA,NA,"VPCL_AR_Diff_No_SE"
"NJ2020","1","1","T0_T6","c_V3","Diff",59383.0038071933,NA,NA,"VPCL_AR_Diff_No_SE"
"NJ2020","1","1","T0_T6","c_Viruses","VP",0,0,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T6","c_V1","VP",0,0,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T6","c_V2","VP",0,0,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T6","c_V3","VP",0,0,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T6","c_Viruses","VPC",0,0,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T6","c_V1","VPC",0,0,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T6","c_V2","VPC",0,0,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T6","c_V3","VPC",0,0,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T6","c_Viruses","Diff",0,NA,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T6","c_V1","Diff",0,NA,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T6","c_V2","Diff",0,NA,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T6","c_V3","Diff",0,NA,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T6","c_Viruses","VP",0,0,NA,"VPCL_AR_Diff_SE"
"NJ2020","1","1","T0_T6","c_V1","VP",0,0,NA,"VPCL_AR_Diff_SE"
"NJ2020","1","1","T0_T6","c_V2","VP",0,0,NA,"VPCL_AR_Diff_SE"
"NJ2020","1","1","T0_T6","c_V3","VP",0,0,NA,"VPCL_AR_Diff_SE"
"NJ2020","1","1","T0_T6","c_Viruses","VPC",0,0,NA,"VPCL_AR_Diff_SE"
"NJ2020","1","1","T0_T6","c_V1","VPC",0,0,NA,"VPCL_AR_Diff_SE"
"NJ2020","1","1","T0_T6","c_V2","VPC",0,0,NA,"VPCL_AR_Diff_SE"
"NJ2020","1","1","T0_T6","c_V3","VPC",0,0,NA,"VPCL_AR_Diff_SE"
"NJ2020","1","1","T0_T6","c_Viruses","Diff",395877.75408671,346049.069979338,NA,"VPCL_AR_Diff_SE"
"NJ2020","1","1","T0_T6","c_V1","Diff",0,0,NA,"VPCL_AR_Diff_SE"
"NJ2020","1","1","T0_T6","c_V2","Diff",0,0,NA,"VPCL_AR_Diff_SE"
"NJ2020","1","1","T0_T6","c_V3","Diff",59383.0038071933,37558.477667249,NA,"VPCL_AR_Diff_SE"
