"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","VP_SE","VP_R_Squared","VP_Type","abs_VP"
"NJ2020","7","1","T0_T6","c_Viruses","VP",21122.9566666665,64998.0687359065,0.0955226189811487,"LM_AR_DIFF",126737.739999999
"NJ2020","7","1","T0_T9","c_Viruses","VP",-149410.092411111,102658.609301903,0.514352167625448,"LM_AR_DIFF",-1344690.8317
"NJ2020","7","1","T0_T12","c_Viruses","VP",-67488.2729222222,75828.6985517815,0.208885203212526,"LM_AR_DIFF",-809859.275066666
"NJ2020","7","1","T0_T24","c_Viruses","VP",-47886.9936027778,33318.7773386207,0.34054898081799,"LM_AR_DIFF",-1149287.84646667
"NJ2020","1","1","T0_T3","c_Viruses","VP",-79829.4243333376,NA,1,"LM_AR_DIFF_LMER",-239488.273000013
"NJ2020","1","1","T0_T6","c_Viruses","VP",-164548.685166667,48912.6880476703,0.91881388184897,"LM_AR_DIFF_LMER",-987292.111000004
"NJ2020","1","1","T0_T17","c_Viruses","VP",57873.7481454541,56208.3561397895,0.346434207907483,"LM_AR_DIFF_LMER",983853.71847272
"NJ2020","1","1","T0_T20","c_Viruses","VP",58624.4727857141,33442.4436682483,0.506009824381667,"LM_AR_DIFF_LMER",1172489.45571428
"NJ2020","1","1","T0_T24","c_Viruses","VP",68321.9039749998,23842.6763243937,0.672433531818798,"LM_AR_DIFF_LMER",1639725.6954
"NJ2020","2","1","T0_T3","c_Viruses","VP",-864818.763333343,NA,1,"LM_AR_DIFF_LMER",-2594456.29000003
"NJ2020","2","1","T0_T6","c_Viruses","VP",-800817.34222222,36951.2377070164,0.997875447936816,"LM_AR_DIFF_LMER",-4804904.05333332
"NJ2020","2","1","T0_T17.5","c_Viruses","VP",1551505.77345191,562040.593837042,0.792106030657079,"LM_AR_DIFF_LMER",27151351.0354085
"NJ2020","2","1","T0_T20.5","c_Viruses","VP",2223299.65889091,532753.407928743,0.853055015979071,"LM_AR_DIFF_LMER",45577643.0072636
"NJ2020","2","1","T0_T24","c_Viruses","VP",2899833.36079391,592213.7898153,0.857023779781684,"LM_AR_DIFF_LMER",69596000.6590539
"NJ2020","3","1","T0_T3","c_Viruses","VP",517242.358888891,NA,1,"LM_AR_DIFF_LMER",1551727.07666667
"NJ2020","3","1","T0_T6","c_Viruses","VP",-138606.965555556,378654.784015835,0.118160606406154,"LM_AR_DIFF_LMER",-831641.793333333
"NJ2020","3","1","T0_T9","c_Viruses","VP",-178968.017333334,170935.350133177,0.354045466070602,"LM_AR_DIFF_LMER",-1610712.15600001
"NJ2020","3","1","T0_T12","c_Viruses","VP",-313606.254444445,125626.893110166,0.675031582823805,"LM_AR_DIFF_LMER",-3763275.05333334
"NJ2020","3","1","T0_T24","c_Viruses","VP",361534.470583334,202345.57078675,0.443854401711808,"LM_AR_DIFF_LMER",8676827.29400002
"NJ2020","4","1","T0_T3","c_Viruses","VP",423312.011111108,NA,1,"LM_AR_DIFF_LMER",1269936.03333332
"NJ2020","4","1","T0_T6","c_Viruses","VP",3072992.18222222,1529793.56005741,0.801395294480711,"LM_AR_DIFF_LMER",18437953.0933333
"NJ2020","4","1","T0_T9","c_Viruses","VP",2420796.02,780922.709759269,0.827727127160548,"LM_AR_DIFF_LMER",21787164.18
"NJ2020","4","1","T0_T12","c_Viruses","VP",1798379.53111111,576553.716566095,0.764323899071211,"LM_AR_DIFF_LMER",21580554.3733333
"NJ2020","4","1","T0_T24","c_Viruses","VP",891115.849583336,361830.912514539,0.602597654091794,"LM_AR_DIFF_LMER",21386780.3900001
"NJ2020","5","1","T0_T3","c_Viruses","VP",197725.657777778,NA,1,"LM_AR_DIFF_LMER",593176.973333334
"NJ2020","5","1","T0_T6","c_Viruses","VP",205792.466111105,4657.37396275532,0.999488081413088,"LM_AR_DIFF_LMER",1234754.79666663
"NJ2020","5","1","T0_T9","c_Viruses","VP",-65415.7785555713,156596.005328475,0.0802497332388718,"LM_AR_DIFF_LMER",-588742.007000142
"NJ2020","5","1","T0_T12","c_Viruses","VP",84825.870444443,125292.806363171,0.132536191280479,"LM_AR_DIFF_LMER",1017910.44533332
