"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Type","B_0","B_OS","V_OS","c_VP","c_abs_VP","c_VP_SE","P_Cells_BS_10","Rate_BS_10","P_BP_Lysed_BS_10","P_B_Loss_BS_10","P_Cells_BS_25","Rate_BS_25","P_BP_Lysed_BS_25","P_B_Loss_BS_25","P_Cells_BS_40","Rate_BS_40","P_BP_Lysed_BS_40","P_B_Loss_BS_40","V_TT","DOC_V","DON_V","DOP_V","DOC_B_BS_10","Total_DOC_BS_10","DON_B_BS_10","Total_DON_BS_10","DOP_B_BS_10","Total_DOP_BS_10","DOC_B_BS_25","Total_DOC_BS_25","DON_B_BS_25","Total_DON_BS_25","DOP_B_BS_25","Total_DOP_BS_25","DOC_B_BS_40","Total_DOC_BS_40","DON_B_BS_40","Total_DON_BS_40","DOP_B_BS_40","Total_DOP_BS_40"
"NJ2020",3,1,"T0_T3","c_Viruses","VP",517242.358888888,1551727.07666666,450865.477952948,0.247570984596459,"LM_AP",2536886.99366667,6665980.231,226495057.7,1359117.43313631,4077352.29940892,1184704.07644402,6.11665825297123,135911.743313631,50.3376827087523,48.93326602377,2.44666330118849,54364.6973254525,20.1350730835009,19.573306409508,1.52916456324281,33977.9358284078,12.5844206771881,12.2333165059425,0.0060006494046175,1.71715445509003e-11,6.77555072739745e-12,2.45865783604521e-12,2.58232312295899e-09,2.59949466750989e-09,6.79558716568156e-10,6.86334267295553e-10,1.08729394650905e-10,1.1118805248695e-10,1.0329292491836e-09,1.0501007937345e-09,2.71823486627262e-10,2.7859903735466e-10,4.3491757860362e-11,4.59504156964072e-11,6.45580780739748e-10,6.62752325290648e-10,1.69889679142039e-10,1.76665229869436e-10,2.71823486627262e-11,2.96410064987714e-11
"NJ2020",3,1,"T0_T6","c_Viruses","VP",-138606.965555555,-831641.793333333,270738.634456831,0.0360916987682438,"LM_AP",2536886.99366667,6665980.231,226495057.7,-364206.720511741,-2185240.32307046,711398.808682727,-3.27819802541274,-36420.6720511741,-13.4891377967312,-13.1127921016509,-1.3112792101651,-14568.2688204697,-5.39565511869247,-5.24511684066037,-0.819549506353185,-9105.16801279354,-3.37228444918279,-3.27819802541273,-0.00160801177831503,-4.60150960802032e-12,-1.81566437889909e-12,-6.58853816082801e-13,-6.91992768972309e-10,-6.96594278580329e-10,-1.82103360255871e-10,-1.8391902463477e-10,-2.91365376409393e-11,-2.97953914570221e-11,-2.76797107588924e-10,-2.81398617196944e-10,-7.28413441023483e-11,-7.46570084812474e-11,-1.16546150563757e-11,-1.23134688724585e-11,-1.72998192243077e-10,-1.77599701851098e-10,-4.55258400639677e-11,-4.73415044428668e-11,-7.28413441023483e-12,-7.94298822631763e-12
"NJ2020",3,1,"T0_T9","c_Viruses","VP",-178968.017333334,-1610712.156,145941.461407609,0.130722909710757,"LM_AP",2536886.99366667,6665980.231,226495057.7,-470260.310571021,-4232342.79513917,383479.003619425,-6.3491679370076,-47026.0310571021,-17.4170485396674,-16.931114498687,-2.53966717480304,-18810.4124228408,-6.96681941586697,-6.7724457994748,-1.5872919842519,-11756.5077642755,-4.35426213491686,-4.23277862467175,-0.00207624976609377,-5.94142616128197e-12,-2.34436886149195e-12,-8.50705884110702e-13,-8.93494590084939e-10,-8.99436016246221e-10,-2.3513015528551e-10,-2.37474524147002e-10,-3.76208248456816e-11,-3.84715307297923e-11,-3.57397836033976e-10,-3.63339262195258e-10,-9.40520621142042e-11,-9.63964309756961e-11,-1.50483299382727e-11,-1.58990358223834e-11,-2.23373647521235e-10,-2.29315073682517e-10,-5.87825388213776e-11,-6.11269076828695e-11,-9.40520621142041e-12,-1.02559120955311e-11
"NJ2020",3,1,"T0_T12","c_Viruses","VP",-313606.254444444,-3763275.05333333,100112.366768828,0.430145059519484,"LM_AP",2536886.99366667,6665980.231,226495057.7,-824038.712667743,-9888464.55201292,263057.4635077,-14.8342242391101,-82403.8712667743,-30.5199523210275,-29.6684484782203,-5.93368969564405,-32961.5485067097,-12.207980928411,-11.8673793912881,-3.70855605977753,-20600.9678166936,-7.62998808025688,-7.41711211955506,-0.00363821939884979,-1.04111809040577e-11,-4.10804538511104e-12,-1.49069476169537e-12,-1.56567355406871e-09,-1.57608473497277e-09,-4.12019356333871e-10,-4.16127401718982e-10,-6.59230970134194e-11,-6.74137917751148e-11,-6.26269421627484e-10,-6.36680602531542e-10,-1.64807742533549e-10,-1.6891578791866e-10,-2.63692388053678e-11,-2.78599335670631e-11,-3.91418388517178e-10,-4.01829569421235e-10,-1.03004839083468e-10,-1.07112884468579e-10,-1.64807742533549e-11,-1.79714690150502e-11
"NJ2020",3,1,"T0_T24","c_Viruses","VP",361534.470583333,8676827.29399999,109150.180133512,0.406772620812918,"LM_AP",2536886.99366667,6665980.231,226495057.7,949975.950742017,22799422.8178084,286805.421288577,34.2026559151498,94997.5950742017,35.1842944719265,34.2026559151498,13.6810623660599,37999.0380296807,14.0737177887706,13.6810623660599,8.55066397878746,23749.3987685504,8.79607361798164,8.55066397878746,0.00419424582765197,1.2002314121457e-11,4.73587497822538e-12,1.71851655964456e-12,1.80495430640983e-09,1.81695662053129e-09,4.74987975371008e-10,4.79723850349234e-10,7.59980760593613e-11,7.77165926190059e-11,7.21981722563933e-10,7.3398403668539e-10,1.89995190148403e-10,1.94731065126629e-10,3.03992304237445e-11,3.21177469833891e-11,4.51238576602458e-10,4.63240890723915e-10,1.18746993842752e-10,1.23482868820977e-10,1.89995190148403e-11,2.07180355744849e-11
"NJ2020",4,1,"T0_T3","c_Viruses","VP",423312.01111111,1269936.03333333,120394.233111847,0.755540071294208,"LM_AP",1534541.57766667,8163509.061,183418451.4,2251950.34701518,6755851.04104555,640477.538832905,8.27567041398982,225195.034701518,83.4055684079698,66.2053633119186,3.31026816559593,90078.0138806074,33.3622273631879,26.4821453247674,2.06891760349746,56298.7586753796,20.8513921019925,16.5513408279796,0.0122776652502867,1.40532207635514e-11,5.54512204097362e-12,2.01216968278881e-12,4.27870565932885e-09,4.2927588800924e-09,1.12597517350759e-09,1.13152029554857e-09,1.80156027761215e-10,1.82168197444004e-10,1.71148226373154e-09,1.72553548449509e-09,4.50390069403037e-10,4.55935191444011e-10,7.20624111044859e-11,7.40745807872747e-11,1.06967641483221e-09,1.08372963559576e-09,2.81493793376898e-10,2.87038915417872e-10,4.50390069403037e-11,4.70511766230925e-11
"NJ2020",4,1,"T0_T6","c_Viruses","VP",3072992.18222222,18437953.0933333,580037.934421501,0.800387320704821,"LM_AP",1534541.57766667,8163509.061,183418451.4,16347813.5027779,98086881.0166674,3085706.50824178,120.152841484875,1634781.35027779,605.47457417696,480.611365939501,48.06113659395,653912.540111117,242.189829670784,192.2445463758,30.0382103712188,408695.337569448,151.36864354424,120.152841484875,0.0891285112157365,1.02017982972142e-10,4.02542716344219e-11,1.46071492001477e-11,3.1060845655278e-08,3.11628636382502e-08,8.17390675138896e-09,8.21416102302338e-09,1.30782508022223e-09,1.32243222942238e-09,1.24243382621112e-08,1.25263562450834e-08,3.26956270055558e-09,3.30981697219e-09,5.23130032088893e-10,5.37737181289041e-10,7.76521141381951e-09,7.86722939679165e-09,2.04347668784724e-09,2.08373095948166e-09,3.26956270055558e-10,3.41563419255706e-10
"NJ2020",4,1,"T0_T9","c_Viruses","VP",2420796.02,21787164.18,378123.623485495,0.803872533347575,"LM_AP",1534541.57766667,8163509.061,183418451.4,12878237.0785626,115904133.707063,2011555.54950529,141.978324322292,1287823.70785626,476.971743650465,378.608864859446,56.7913297289169,515129.483142502,190.788697460186,151.443545943778,35.4945810805731,321955.926964064,119.242935912616,94.6522162148615,0.0702123313127185,8.03662074300487e-11,3.17109106636708e-11,1.15070024752528e-11,2.44686504492688e-08,2.45490166566989e-08,6.43911853928128e-09,6.47082944994495e-09,1.030258966285e-09,1.04176596876026e-09,9.78746017970754e-09,9.86782638713759e-09,2.57564741571251e-09,2.60735832637618e-09,4.12103586514002e-10,4.23610588989254e-10,6.11716261231721e-09,6.19752881974726e-09,1.60977963482032e-09,1.64149054548399e-09,2.57564741571251e-10,2.69071744046504e-10
"NJ2020",4,1,"T0_T12","c_Viruses","VP",1798379.53111111,21580554.3733333,293364.717383928,0.742977090981929,"LM_AP",1534541.57766667,8163509.061,183418451.4,9567083.62354422,114805003.482531,1560652.09532017,140.631930000537,956708.362354422,354.336430501638,281.263860001075,56.252772000215,382683.344941769,141.734572200655,112.50554400043,35.1579825001344,239177.090588606,88.5841076254095,70.3159650002688,0.0521598756860087,5.9703065124516e-11,2.35576447496136e-11,8.54841033485324e-12,1.8177458884734e-08,1.82371619498585e-08,4.78354181177211e-09,4.80709945652173e-09,7.65366689883538e-10,7.73915100218391e-10,7.27098355389361e-09,7.33068661901812e-09,1.91341672470884e-09,1.93697436945846e-09,3.06146675953415e-10,3.14695086288268e-10,4.54436472118351e-09,4.60406778630802e-09,1.19588545294303e-09,1.21944309769264e-09,1.91341672470884e-10,1.99890082805738e-10
"NJ2020",4,1,"T0_T24","c_Viruses","VP",891115.849583333,21386780.39,189289.535047347,0.580738225330864,"LM_AP",1534541.57766667,8163509.061,183418451.4,4740589.90538114,113774157.729147,1006989.22531714,139.369181658274,474058.990538114,175.577403903005,139.369181658274,55.7476726633096,189623.596215246,70.2309615612021,55.7476726633096,34.8422954145685,118514.747634529,43.8943509757513,34.8422954145685,0.0258457634398125,2.95834926281059e-11,1.16730591357789e-11,4.23582664634935e-12,9.00712082022417e-09,9.03670431285228e-09,2.37029495269057e-09,2.38196801182635e-09,3.79247192430491e-10,3.83483019076841e-10,3.60284832808967e-09,3.63243182071778e-09,9.48117981076229e-10,9.59791040212008e-10,1.51698876972197e-10,1.55934703618546e-10,2.25178020505604e-09,2.28136369768415e-09,5.92573738172643e-10,6.04246797308422e-10,9.48117981076229e-11,9.90476247539722e-11
