"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","Replicate","VP","VP_SE","VP_R_Squared","VP_Type","abs_VP"
"NJ2020","7","1","T0_T3","c_Viruses","VP","3",-242985.074333333,NA,1,"LM_SR",-728955.223
"NJ2020","7","1","T0_T6","c_Viruses","VP","3",-170234.5415,42002.5397150138,0.942616034758674,"LM_SR",-1021407.249
"NJ2020","7","1","T0_T9","c_Viruses","VP","3",-166746.268666667,18891.7623394127,0.974970387892308,"LM_SR",-1500716.418
"NJ2020","7","1","T0_T12","c_Viruses","VP","3",-39582.0895666667,74224.0462618994,0.0865872592314237,"LM_SR",-474985.0748
"NJ2020","7","1","T0_T24","c_Viruses","VP","3",-12434.9680083333,33081.5741221003,0.0341178124455163,"LM_SR",-298439.2322
"NJ2020","1","1","T0_T3","c_Viruses","VP","1",0,NA,NA,"VPCL_SR",0
"NJ2020","1","1","T0_T6","c_Viruses","VP","1",0,NA,NA,"VPCL_SR",0
"NJ2020","1","1","T0_T17","c_Viruses","VP","1",149238.224454546,NA,NA,"VPCL_SR",1641620.469
"NJ2020","1","1","T0_T20","c_Viruses","VP","1",149238.224454546,NA,NA,"VPCL_SR",1641620.469
"NJ2020","1","1","T0_T24","c_Viruses","VP","1",469352.587477273,NA,NA,"VPCL_SR",4799488.271
"NJ2020","1","1","T0_T3","c_Viruses","VP","2",37185.5010000002,NA,NA,"VPCL_SR",111556.503
"NJ2020","1","1","T0_T6","c_Viruses","VP","2",37185.5010000002,NA,NA,"VPCL_SR",111556.503
"NJ2020","1","1","T0_T17","c_Viruses","VP","2",85070.7501363637,NA,NA,"VPCL_SR",1574072.495
"NJ2020","1","1","T0_T20","c_Viruses","VP","2",99134.9375714286,NA,NA,"VPCL_SR",2366737.741
"NJ2020","1","1","T0_T24","c_Viruses","VP","2",99134.9375714286,NA,NA,"VPCL_SR",2366737.741
"NJ2020","1","1","T0_T3","c_Viruses","VP","3",0,NA,NA,"VPCL_SR",0
"NJ2020","1","1","T0_T6","c_Viruses","VP","3",0,NA,NA,"VPCL_SR",0
"NJ2020","1","1","T0_T17","c_Viruses","VP","3",200503.973636364,NA,NA,"VPCL_SR",2205543.71
"NJ2020","1","1","T0_T20","c_Viruses","VP","3",200503.973636364,NA,NA,"VPCL_SR",2205543.71
"NJ2020","1","1","T0_T24","c_Viruses","VP","3",200503.973636364,NA,NA,"VPCL_SR",2205543.71
"NJ2020","2","1","T0_T3","c_Viruses","VP","1",0,NA,NA,"VPCL_SR",0
"NJ2020","2","1","T0_T6","c_Viruses","VP","1",0,NA,NA,"VPCL_SR",0
"NJ2020","2","1","T0_T17.5","c_Viruses","VP","1",3282395.47652174,NA,NA,"VPCL_SR",37747547.98
"NJ2020","2","1","T0_T20.5","c_Viruses","VP","1",4871068.30137931,NA,NA,"VPCL_SR",70630490.37
"NJ2020","2","1","T0_T24","c_Viruses","VP","1",5821855.00944444,NA,NA,"VPCL_SR",104793390.17
"NJ2020","2","1","T0_T3","c_Viruses","VP","2",0,NA,NA,"VPCL_SR",0
"NJ2020","2","1","T0_T6","c_Viruses","VP","2",0,NA,NA,"VPCL_SR",0
"NJ2020","2","1","T0_T17.5","c_Viruses","VP","2",1757448.78086957,NA,NA,"VPCL_SR",20210660.98
"NJ2020","2","1","T0_T20.5","c_Viruses","VP","2",1925373.13448276,NA,NA,"VPCL_SR",27917910.45
"NJ2020","2","1","T0_T24","c_Viruses","VP","2",2575870.64666667,NA,NA,"VPCL_SR",46365671.64
"NJ2020","2","1","T0_T3","c_Viruses","VP","3",0,NA,NA,"VPCL_SR",0
"NJ2020","2","1","T0_T6","c_Viruses","VP","3",0,NA,NA,"VPCL_SR",0
"NJ2020","2","1","T0_T17.5","c_Viruses","VP","3",2454621.30347826,NA,NA,"VPCL_SR",28228144.99
"NJ2020","2","1","T0_T20.5","c_Viruses","VP","3",3634718.03586207,NA,NA,"VPCL_SR",52703411.52
"NJ2020","2","1","T0_T24","c_Viruses","VP","3",4586105.19055555,NA,NA,"VPCL_SR",82549893.43
"NJ2020","3","1","T0_T3","c_Viruses","VP","1",753944.563333334,NA,NA,"VPCL_SR",2261833.69
"NJ2020","3","1","T0_T6","c_Viruses","VP","1",753944.563333334,NA,NA,"VPCL_SR",2261833.69
"NJ2020","3","1","T0_T9","c_Viruses","VP","1",505756.93,NA,NA,"VPCL_SR",3034541.58
"NJ2020","3","1","T0_T12","c_Viruses","VP","1",505756.93,NA,NA,"VPCL_SR",3034541.58
"NJ2020","3","1","T0_T24","c_Viruses","VP","1",762736.318611111,NA,NA,"VPCL_SR",18354882.73
"NJ2020","3","1","T0_T3","c_Viruses","VP","2",605373.133333333,NA,NA,"VPCL_SR",1816119.4
"NJ2020","3","1","T0_T6","c_Viruses","VP","2",605373.133333333,NA,NA,"VPCL_SR",1816119.4
"NJ2020","3","1","T0_T9","c_Viruses","VP","2",605373.133333333,NA,NA,"VPCL_SR",1816119.4
"NJ2020","3","1","T0_T12","c_Viruses","VP","2",605373.133333333,NA,NA,"VPCL_SR",1816119.4
"NJ2020","3","1","T0_T24","c_Viruses","VP","2",876759.061666666,NA,NA,"VPCL_SR",15593859.28
"NJ2020","3","1","T0_T3","c_Viruses","VP","3",192409.38,NA,NA,"VPCL_SR",577228.140000001
"NJ2020","3","1","T0_T6","c_Viruses","VP","3",192409.38,NA,NA,"VPCL_SR",577228.140000001
"NJ2020","3","1","T0_T9","c_Viruses","VP","3",355223.88,NA,NA,"VPCL_SR",2131343.28
"NJ2020","3","1","T0_T12","c_Viruses","VP","3",355223.88,NA,NA,"VPCL_SR",2131343.28
"NJ2020","3","1","T0_T24","c_Viruses","VP","3",532530.205555556,NA,NA,"VPCL_SR",12777057.56
"NJ2020","4","1","T0_T3","c_Viruses","VP","1",121108.743333333,NA,NA,"VPCL_SR",363326.23
"NJ2020","4","1","T0_T6","c_Viruses","VP","1",3026012.79333333,NA,NA,"VPCL_SR",18156076.76
"NJ2020","4","1","T0_T9","c_Viruses","VP","1",3026012.79333333,NA,NA,"VPCL_SR",18156076.76
"NJ2020","4","1","T0_T12","c_Viruses","VP","1",1932835.82,NA,NA,"VPCL_SR",20675053.3
"NJ2020","4","1","T0_T24","c_Viruses","VP","1",1633944.563,NA,NA,"VPCL_SR",21784221.75
"NJ2020","4","1","T0_T3","c_Viruses","VP","2",672921.106666666,NA,NA,"VPCL_SR",2018763.32
"NJ2020","4","1","T0_T6","c_Viruses","VP","2",3109381.66333333,NA,NA,"VPCL_SR",18656289.98
"NJ2020","4","1","T0_T9","c_Viruses","VP","2",3109381.66333333,NA,NA,"VPCL_SR",18656289.98
"NJ2020","4","1","T0_T12","c_Viruses","VP","2",1650426.44,NA,NA,"VPCL_SR",19230703.63
"NJ2020","4","1","T0_T24","c_Viruses","VP","2",1872985.075,NA,NA,"VPCL_SR",28205117.28
"NJ2020","4","1","T0_T3","c_Viruses","VP","3",475906.183333333,NA,NA,"VPCL_SR",1427718.55
"NJ2020","4","1","T0_T6","c_Viruses","VP","3",3083582.09,NA,NA,"VPCL_SR",18501492.54
"NJ2020","4","1","T0_T9","c_Viruses","VP","3",2525941.72,NA,NA,"VPCL_SR",22733475.48
"NJ2020","4","1","T0_T12","c_Viruses","VP","3",2525941.72,NA,NA,"VPCL_SR",22733475.48
"NJ2020","4","1","T0_T24","c_Viruses","VP","3",1285412.22458333,NA,NA,"VPCL_SR",23272068.23
"NJ2020","5","1","T0_T3","c_Viruses","VP","1",333475.48,NA,NA,"VPCL_SR",1000426.44
"NJ2020","5","1","T0_T6","c_Viruses","VP","1",1202238.805,NA,NA,"VPCL_SR",7213432.83
"NJ2020","5","1","T0_T9","c_Viruses","VP","1",1202238.805,NA,NA,"VPCL_SR",7213432.83
"NJ2020","5","1","T0_T12","c_Viruses","VP","1",1020842.21583333,NA,NA,"VPCL_SR",9731769.71
"NJ2020","5","1","T0_T24","c_Viruses","VP","1",714872.0675,NA,NA,"VPCL_SR",10626012.78
"NJ2020","5","1","T0_T3","c_Viruses","VP","2",478464.82,NA,NA,"VPCL_SR",1435394.46
"NJ2020","5","1","T0_T6","c_Viruses","VP","2",478464.82,NA,NA,"VPCL_SR",1435394.46
"NJ2020","5","1","T0_T9","c_Viruses","VP","2",478464.82,NA,NA,"VPCL_SR",1435394.46
"NJ2020","5","1","T0_T12","c_Viruses","VP","2",1089445.63,NA,NA,"VPCL_SR",6536673.78
"NJ2020","5","1","T0_T24","c_Viruses","VP","2",1089445.63,NA,NA,"VPCL_SR",6536673.78
"NJ2020","5","1","T0_T3","c_Viruses","VP","3",0,NA,NA,"VPCL_SR",0
"NJ2020","5","1","T0_T6","c_Viruses","VP","3",0,NA,NA,"VPCL_SR",0
"NJ2020","5","1","T0_T9","c_Viruses","VP","3",989339.016666667,NA,NA,"VPCL_SR",2968017.05
"NJ2020","5","1","T0_T12","c_Viruses","VP","3",660234.541666667,NA,NA,"VPCL_SR",3961407.25
"NJ2020","5","1","T0_T24","c_Viruses","VP","3",660234.541666667,NA,NA,"VPCL_SR",3961407.25
"NJ2020","6","1","T0_T3","c_Viruses","VP","1",205543.710000001,NA,NA,"VPCL_SR",616631.130000003
"NJ2020","6","1","T0_T6","c_Viruses","VP","1",205543.710000001,NA,NA,"VPCL_SR",616631.130000003
"NJ2020","6","1","T0_T9","c_Viruses","VP","1",205543.710000001,NA,NA,"VPCL_SR",616631.130000003
"NJ2020","6","1","T0_T12","c_Viruses","VP","1",2410234.54166667,NA,NA,"VPCL_SR",14461407.25
"NJ2020","6","1","T0_T24","c_Viruses","VP","1",601492.537333334,NA,NA,"VPCL_SR",15578251.6
"NJ2020","6","1","T0_T3","c_Viruses","VP","2",241364.606666667,NA,NA,"VPCL_SR",724093.82
"NJ2020","6","1","T0_T6","c_Viruses","VP","2",241364.606666667,NA,NA,"VPCL_SR",724093.82
"NJ2020","6","1","T0_T9","c_Viruses","VP","2",241364.606666667,NA,NA,"VPCL_SR",724093.82
"NJ2020","6","1","T0_T12","c_Viruses","VP","2",241364.606666667,NA,NA,"VPCL_SR",724093.82
"NJ2020","6","1","T0_T24","c_Viruses","VP","2",159648.187916667,NA,NA,"VPCL_SR",1659275.05
"NJ2020","6","1","T0_T3","c_Viruses","VP","3",0,NA,NA,"VPCL_SR",0
"NJ2020","6","1","T0_T6","c_Viruses","VP","3",602132.196666667,NA,NA,"VPCL_SR",1806396.59
"NJ2020","6","1","T0_T9","c_Viruses","VP","3",602132.196666667,NA,NA,"VPCL_SR",1806396.59
"NJ2020","6","1","T0_T12","c_Viruses","VP","3",396162.046666666,NA,NA,"VPCL_SR",2376972.28
"NJ2020","6","1","T0_T24","c_Viruses","VP","3",396162.046666666,NA,NA,"VPCL_SR",2376972.28
"NJ2020","7","1","T0_T3","c_Viruses","VP","1",403155.650333333,NA,NA,"VPCL_SR",1209466.951
"NJ2020","7","1","T0_T6","c_Viruses","VP","1",293176.972166667,NA,NA,"VPCL_SR",1759061.833
"NJ2020","7","1","T0_T9","c_Viruses","VP","1",293176.972166667,NA,NA,"VPCL_SR",1759061.833
"NJ2020","7","1","T0_T12","c_Viruses","VP","1",343475.47975,NA,NA,"VPCL_SR",2940383.795
"NJ2020","7","1","T0_T24","c_Viruses","VP","1",343475.47975,NA,NA,"VPCL_SR",2940383.795
"NJ2020","7","1","T0_T3","c_Viruses","VP","2",240938.166333333,NA,NA,"VPCL_SR",722814.499
"NJ2020","7","1","T0_T6","c_Viruses","VP","2",240938.166333333,NA,NA,"VPCL_SR",722814.499
"NJ2020","7","1","T0_T9","c_Viruses","VP","2",240938.166333333,NA,NA,"VPCL_SR",722814.499
"NJ2020","7","1","T0_T12","c_Viruses","VP","2",336886.993666667,NA,NA,"VPCL_SR",2021321.962
"NJ2020","7","1","T0_T24","c_Viruses","VP","2",336886.993666667,NA,NA,"VPCL_SR",2021321.962
"NJ2020","7","1","T0_T3","c_Viruses","VP","3",0,NA,NA,"VPCL_SR",0
