"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","VP","VP_SE","VP_R_Squared","VP_Type"
"NJ2020","1","1","T0_T6","c_V3","VPC",27741.4063559212,24926.6243490831,NA,"VPCL_AR_Diff_SE"
"NJ2020","1","1","T0_T6","c_Viruses","Diff",1509907.60483298,343230.852160905,NA,"VPCL_AR_Diff_SE"
"NJ2020","1","1","T0_T6","c_V1","Diff",1129020.06687684,289109.761592231,NA,"VPCL_AR_Diff_SE"
"NJ2020","1","1","T0_T6","c_V2","Diff",224919.585499354,72560.3050969831,NA,"VPCL_AR_Diff_SE"
"NJ2020","1","1","T0_T6","c_V3","Diff",155967.952456782,38016.2030584958,NA,"VPCL_AR_Diff_SE"
"NJ2020","1","1","T0_T6","c_Viruses","VP",0,NA,NA,"VPCL_AR_Diff_LMER_No_SE"
"NJ2020","1","1","T0_T6","c_V1","VP",0,NA,NA,"VPCL_AR_Diff_LMER_No_SE"
"NJ2020","1","1","T0_T6","c_V2","VP",0,NA,NA,"VPCL_AR_Diff_LMER_No_SE"
"NJ2020","1","1","T0_T6","c_V3","VP",15333.9543812739,NA,NA,"VPCL_AR_Diff_LMER_No_SE"
"NJ2020","1","1","T0_T6","c_Viruses","VPC",238948.116560057,NA,NA,"VPCL_AR_Diff_LMER_No_SE"
"NJ2020","1","1","T0_T6","c_V1","VPC",187807.407487318,NA,NA,"VPCL_AR_Diff_LMER_No_SE"
"NJ2020","1","1","T0_T6","c_V2","VPC",23399.3027168189,NA,NA,"VPCL_AR_Diff_LMER_No_SE"
"NJ2020","1","1","T0_T6","c_V3","VPC",27741.4063559213,NA,NA,"VPCL_AR_Diff_LMER_No_SE"
"NJ2020","1","1","T0_T6","c_Viruses","Diff",777213.930348256,NA,NA,"VPCL_AR_Diff_LMER_No_SE"
"NJ2020","1","1","T0_T6","c_V1","Diff",607211.817995923,NA,NA,"VPCL_AR_Diff_LMER_No_SE"
"NJ2020","1","1","T0_T6","c_V2","Diff",224919.585499354,NA,NA,"VPCL_AR_Diff_LMER_No_SE"
"NJ2020","1","1","T0_T6","c_V3","Diff",155967.952456782,NA,NA,"VPCL_AR_Diff_LMER_No_SE"
