"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","VP","VP_SE","VP_R_Squared","VP_Type"
"NJ2020","1","1","T0_T20","c_V3","VP",-3601.36213109462,11111.612293899,0.033830731831055,"LM_AR"
"NJ2020","1","1","T0_T3","c_Viruses","VPC",-37754.0867093095,NA,1,"LM_AR"
"NJ2020","1","1","T0_T6","c_Viruses","VPC",100597.014925373,79877.0457714659,0.613314966295877,"LM_AR"
"NJ2020","1","1","T0_T24","c_Viruses","VPC",48583.2420907047,11552.6136091393,0.815543268529909,"LM_AR"
"NJ2020","1","1","T0_T17","c_Viruses","VPC",58782.4513794661,21332.3020493339,0.791517130361025,"LM_AR"
"NJ2020","1","1","T0_T20","c_Viruses","VPC",60157.5135903491,12719.0035573432,0.881751921725622,"LM_AR"
"NJ2020","1","1","T0_T3","c_V1","VPC",-6575.03095320843,NA,1,"LM_AR"
"NJ2020","1","1","T0_T6","c_V1","VPC",90616.1882670544,56113.3765796871,0.722824845584002,"LM_AR"
"NJ2020","1","1","T0_T24","c_V1","VPC",43936.8033006852,9613.23800863084,0.839286392024536,"LM_AR"
"NJ2020","1","1","T0_T17","c_V1","VPC",50091.4572663544,16501.3340926298,0.82166534440009,"LM_AR"
"NJ2020","1","1","T0_T20","c_V1","VPC",54104.5973278742,10121.6176945338,0.904984607273127,"LM_AR"
"NJ2020","1","1","T0_T3","c_V2","VPC",-17404.631267261,NA,1,"LM_AR"
"NJ2020","1","1","T0_T6","c_V2","VPC",2997.33572477872,11779.0811348522,0.0608134731458682,"LM_AR"
"NJ2020","1","1","T0_T24","c_V2","VPC",3909.06270365561,1189.95565248171,0.729575283594361,"LM_AR"
"NJ2020","1","1","T0_T17","c_V2","VPC",4833.53654212376,2788.2667039924,0.600408942534192,"LM_AR"
"NJ2020","1","1","T0_T20","c_V2","VPC",4300.58288704072,1690.77388055385,0.683199823138788,"LM_AR"
"NJ2020","1","1","T0_T3","c_V3","VPC",-13774.4244888408,NA,1,"LM_AR"
"NJ2020","1","1","T0_T6","c_V3","VPC",6983.49093354013,11984.5880569272,0.253478551153705,"LM_AR"
"NJ2020","1","1","T0_T24","c_V3","VPC",737.376086363898,1624.37093405274,0.0489927175515763,"LM_AR"
"NJ2020","1","1","T0_T17","c_V3","VPC",3857.45757098819,2903.90662193786,0.468729752369378,"LM_AR"
"NJ2020","1","1","T0_T20","c_V3","VPC",1752.33337543443,2157.83357704168,0.180210016030799,"LM_AR"
"NJ2020","1","1","T0_T3","c_Viruses","Diff",44520.2558635398,NA,NA,"LM_AR"
"NJ2020","1","1","T0_T6","c_Viruses","Diff",777213.930348258,159754.091542932,NA,"LM_AR"
"NJ2020","1","1","T0_T24","c_Viruses","Diff",-19356.3648936786,23105.2272182786,NA,"LM_AR"
"NJ2020","1","1","T0_T17","c_Viruses","Diff",186764.360018091,42664.6040986678,NA,"LM_AR"
"NJ2020","1","1","T0_T20","c_Viruses","Diff",50265.2210541329,25438.0071146864,NA,"LM_AR"
"NJ2020","1","1","T0_T3","c_V1","Diff",85403.5691150033,NA,NA,"LM_AR"
"NJ2020","1","1","T0_T6","c_V1","Diff",607211.817995924,112226.753159374,NA,"LM_AR"
"NJ2020","1","1","T0_T24","c_V1","Diff",-12995.9866908274,19226.4760172617,NA,"LM_AR"
"NJ2020","1","1","T0_T17","c_V1","Diff",138662.692186581,33002.6681852596,NA,"LM_AR"
"NJ2020","1","1","T0_T20","c_V1","Diff",39868.3980145165,20243.2353890676,NA,"LM_AR"
"NJ2020","1","1","T0_T3","c_V2","Diff",-11774.93438135,NA,NA,"LM_AR"
