"Sample_Name","Staining_Protocol","Expt_Date","Location","Expt_No","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_HNA","c_LNA","c_Viruses","c_V1","c_V2","c_V3","Comments"
"vi201102.051","Viruses",2020-08-04,"NJ2020",1,1,"VP",6,3,1346609.80810235,1046683.07811591,299926.729986431,4344818.76332623,3309649.64495088,701775.265446077,333393.852929265,NA
"vi201102.052","Viruses",2020-08-04,"NJ2020",1,1,"VP",17,1,2068656.71641791,1648899.66361724,419757.052800672,6897313.43283582,5508821.58608377,943581.701763989,444910.144988061,NA
"vi201102.053","Viruses",2020-08-04,"NJ2020",1,1,"VP",17,2,2045117.27078891,1669796.12371529,375321.147073621,6611257.99573561,5046032.89533169,1055150.65930399,510074.44109993,NA
"vi201102.054","Viruses",2020-08-04,"NJ2020",1,1,"VP",17,3,2080938.1663113,1717348.47933863,363589.686972674,6551897.65458422,5144217.07364428,960813.989782349,446866.591157588,NA
"vi201102.061","Viruses",2020-08-04,"NJ2020",1,1,"VP",20,1,2830106.6098081,2365836.18492901,464270.424879089,9065245.20255863,6948585.69708746,1448368.06124262,668291.444228553,NA
"vi201102.062","Viruses",2020-08-04,"NJ2020",1,1,"VP",20,2,2855181.23667377,2427722.15467892,427459.081994856,10368102.3454158,8081945.27954375,1532875.13410771,753281.931764312,NA
"vi201102.063","Viruses",2020-08-04,"NJ2020",1,1,"VP",20,3,2783027.71855011,2368360.1676142,414667.550935906,9262260.12793177,7096156.71586027,1449559.69781211,716543.714259394,NA
"vi201102.064","Viruses",2020-08-04,"NJ2020",1,1,"VP",24,1,3398123.6673774,2976234.72447501,421888.942902386,12234882.7292111,9644289.75593808,1839625.32471148,750967.648561518,NA
"vi201102.099","Viruses",2020-08-04,"NJ2020",1,1,"VP",24,2,3666780.38379531,3177058.42538517,489721.958410136,9809808.10234542,7497281.25367902,1576289.71705888,736237.131607519,NA
"vi201102.100","Viruses",2020-08-04,"NJ2020",1,1,"VP",24,3,3335692.96375267,2879245.8573121,456447.106440565,8679914.71215352,6509936.03411514,1461158.99459431,708819.683444072,NA
"vi201102.079","Viruses",2020-08-04,"NJ2020",1,1,"VPC",0,1,1402643.92324094,1064979.73301129,337664.190229647,7246311.30063966,5332655.75867641,1288158.04325345,625497.498709804,NA
"vi201102.080","Viruses",2020-08-04,"NJ2020",1,1,"VPC",0,2,1364264.39232409,1002007.79702502,362256.595299075,7672579.95735608,5677815.68498231,1332425.06737199,662339.205001774,NA
"vi201102.081","Viruses",2020-08-04,"NJ2020",1,1,"VPC",0,3,1393944.56289979,1038140.46556295,355804.097336839,7662345.41577825,5667240.5027548,1328940.30241431,666164.610609141,NA
"vi201102.082","Viruses",2020-08-04,"NJ2020",1,1,"VPC",3,1,1383710.02132196,1015326.24467534,368383.77664662,7639829.42430704,5786869.46509476,1243051.50868786,609908.450524416,NA
"vi201102.083","Viruses",2020-08-04,"NJ2020",1,1,"VPC",3,2,1325373.13432836,965283.17317522,360089.961153138,7237611.94029851,5291270.0749105,1322817.51872763,623524.346660377,NA
"vi201102.084","Viruses",2020-08-04,"NJ2020",1,1,"VPC",3,3,1359147.12153518,1029702.77470427,329444.346830911,7364008.52878465,5540397.12782938,1227012.70421891,596598.696736358,NA
"vi201102.091","Viruses",2020-08-04,"NJ2020",1,1,"VPC",6,1,1437441.36460554,1071565.78086663,365875.583738916,7647249.46695096,5872760.6061541,1214727.34656234,559761.514234515,NA
"vi201102.092","Viruses",2020-08-04,"NJ2020",1,1,"VPC",6,2,1570490.40511727,1145798.72706571,424691.678051563,9142515.99147122,6821346.11343508,1550783.75720422,770386.120831921,NA
"vi201102.093","Viruses",2020-08-04,"NJ2020",1,1,"VPC",6,3,1355565.03198294,996874.247040603,358690.784942339,7602217.48400853,5614696.61563132,1237964.35231921,749556.516058006,NA
"vi201102.094","Viruses",2020-08-04,"NJ2020",1,1,"VPC",17,1,1244008.52878465,857778.365433029,386230.16335162,8055607.67590618,6010761.04342864,1327628.03084947,717218.601628078,NA
"vi201102.095","Viruses",2020-08-04,"NJ2020",1,1,"VPC",17,2,1310533.04904051,992735.171261487,317797.877779025,8970063.96588486,6821992.08517176,1443055.97576906,705015.904944038,NA
"vi201102.096","Viruses",2020-08-04,"NJ2020",1,1,"VPC",17,3,1318720.68230277,987635.443196923,331085.239105849,8299701.49253731,6264359.15745339,1357061.38022651,678280.954857415,NA
"vi201102.108","Viruses",2020-08-04,"NJ2020",1,1,"VPC",20,1,1246823.02771855,912496.557801399,334326.469917151,8392835.82089552,6432597.48687393,1338993.5697009,621244.764320689,NA
"vi201102.109","Viruses",2020-08-04,"NJ2020",1,1,"VPC",20,2,1343539.445629,972379.005169846,371160.440459152,8781236.67377399,6724384.0210237,1391858.96066521,664993.692085078,NA
"vi201102.110","Viruses",2020-08-04,"NJ2020",1,1,"VPC",20,3,1320511.72707889,953958.529899037,366553.197179855,8960341.15138593,6893731.32891488,1387300.53093564,679309.291535408,NA
"vi201102.111","Viruses",2020-08-04,"NJ2020",1,1,"VPC",24,1,1213049.04051173,859306.968858075,353742.071653652,8445031.98294243,6472011.11787999,1403986.56716418,569034.297898264,NA
"vi201102.112","Viruses",2020-08-04,"NJ2020",1,1,"VPC",24,2,1219189.76545842,897650.829410897,321538.936047525,8501321.96162047,6510976.97959472,1349855.08379367,640489.89823208,NA
"vi201102.113","Viruses",2020-08-04,"NJ2020",1,1,"VPC",24,3,1239147.12153518,892553.991006777,346593.130528405,8470618.336887,6349696.15508722,1388477.61700189,732444.564797885,NA
