Sample_Name,Staining_Protocol,Expt_Date,Date_Measurement,Location,Expt_No,Depth,Sample_Type,Timepoint,Replicate,c_Bacteria,c_HNA,c_LNA,c_Viruses,c_V1,c_V2,c_V3,VBR,HNAperLNA,,,,,,,,,,,,
vi201105.055,Viruses,18-08-20,05-11-20,NJ2020,3,1,VP,9,1,2953432.836,1583673.061,1369759.775,16334584.22,14112418.46,1498775.59,723390.1721,5.530711254,1.156168468,,,,,,,,,,,,
vi201105.112,Viruses,18-08-20,05-11-20,NJ2020,3,1,VPC,9,1,2427889.126,1173581.928,1254307.198,13510874.2,11642194.03,1250141.508,618538.6642,5.56486458,0.935641548,,,,,,,,,,,,
vi201105.056,Viruses,18-08-20,05-11-20,NJ2020,3,1,VP,9,2,2937569.296,1581100.471,1356468.825,15108486.14,13018853.72,1423511.661,666120.7594,5.143193102,1.165600301,,,,,,,,,,,,
vi201105.113,Viruses,18-08-20,05-11-20,NJ2020,3,1,VPC,9,2,1649552.239,930202.4695,719349.7693,10064904.05,8414469.524,998750.0919,651684.435,6.101597642,1.293115685,,,,,,,,,,,,
vi201105.057,Viruses,18-08-20,05-11-20,NJ2020,3,1,VP,9,3,2877185.501,1572344.099,1304841.402,15250234.54,13182004.38,1418661.654,649568.5072,5.300400178,1.205007825,,,,,,,,,,,,
vi201105.114,Viruses,18-08-20,05-11-20,NJ2020,3,1,VPC,9,3,1549765.458,840221.9844,709543.474,8564520.256,7058282.559,917467.3328,588770.3642,5.526333168,1.184172662,,,,,,,,,,,,
vi201105.071,Viruses,18-08-20,05-11-20,NJ2020,3,1,VP,12,1,3273773.987,1932925.178,1340848.81,12992238.81,11004965.6,1401656.494,585616.712,3.968581477,1.441568329,,,,,,,,,,,,
vi201105.127,Viruses,18-08-20,05-11-20,NJ2020,3,1,VPC,12,1,1601961.62,880490.8747,721470.7458,9228230.277,7832763.81,916605.3546,478861.1125,5.760581377,1.220411056,,,,,,,,,,,,
vi201105.072,Viruses,18-08-20,05-11-20,NJ2020,3,1,VP,12,2,3297313.433,1952356.638,1344956.795,12330575.69,10345097.16,1375760.698,609717.8393,3.739582525,1.451612903,,,,,,,,,,,,
vi201105.128,Viruses,18-08-20,05-11-20,NJ2020,3,1,VPC,12,2,1616289.979,890723.5504,725566.4283,8894584.222,7405973.94,976540.37,512069.9118,5.503086908,1.227625088,,,,,,,,,,,,
vi201105.073,Viruses,18-08-20,05-11-20,NJ2020,3,1,VP,12,3,3007675.906,1737552.844,1270123.063,14064307.04,12174725.9,1295151.452,594429.6824,4.676137814,1.368019285,,,,,,,,,,,,
vi201105.129,Viruses,18-08-20,05-11-20,NJ2020,3,1,VPC,12,3,1642388.06,917323.8416,725064.2181,7592238.806,6150377.448,925627.0629,516234.2951,4.622682661,1.2651622,,,,,,,,,,,,
vi201105.011,Viruses,18-08-20,05-11-20,NJ2020,3,1,0.22,24,1,74200.42644,60950.35029,13250.07615,176904051.2,147794030.8,23736802.1,5373218.225,2384.137931,4.6,,,,,,,,,,,,
vi201105.068,Viruses,18-08-20,05-11-20,NJ2020,3,1,VP,24,1,9266737.74,7709517.348,1557220.392,28312579.96,25684074.46,1653637.348,974868.148,3.055290951,4.950819672,,,,,,,,,,,,
vi201105.130,Viruses,18-08-20,05-11-20,NJ2020,3,1,VPC,24,1,1510874.2,794551.1024,716323.0981,7916673.774,6358426.894,993519.8196,564727.0605,5.239796782,1.109207709,,,,,,,,,,,,
vi201105.012,Viruses,18-08-20,05-11-20,NJ2020,3,1,0.22,24,2,33262.26013,13304.90405,19957.35608,171710021.3,143998937.9,22750865.59,4960217.788,5162.307692,0.666666667,,,,,,,,,,,,
vi201105.069,Viruses,18-08-20,05-11-20,NJ2020,3,1,VP,24,2,9433049.041,7885977.939,1547071.101,26108315.57,23500365.03,1588319.538,1019630.997,2.767749373,5.097359736,,,,,,,,,,,,
vi201105.131,Viruses,18-08-20,05-11-20,NJ2020,3,1,VPC,24,2,1495522.388,762844.2403,732678.1477,6679317.697,5296480.486,902153.2433,480683.9675,4.466210436,1.041172366,,,,,,,,,,,,
vi201105.013,Viruses,18-08-20,05-11-20,NJ2020,3,1,0.22,24,3,17910.44776,6321.334504,11589.11326,166792324.1,139472584.8,22360375,4959364.338,9312.571429,0.545454545,,,,,,,,,,,,
