"file_name","pop","count"
vi201102.074,HNA_Bacteria,1
vi201102.074,LNA_Bacteria,0
vi201102.074,Viruses,307
vi201102.074,V1,287
vi201102.074,V2,15
vi201102.074,V3,1
vi201102.075,root,2865
vi201102.075,Bacteria,11
vi201102.075,HNA_Bacteria,2
vi201102.075,LNA_Bacteria,9
vi201102.075,Viruses,1403
vi201102.075,V1,1348
vi201102.075,V2,14
vi201102.075,V3,0
vi201102.076,root,2100
vi201102.076,Bacteria,73
vi201102.076,HNA_Bacteria,49
vi201102.076,LNA_Bacteria,24
vi201102.076,Viruses,1396
vi201102.076,V1,1102
vi201102.076,V2,251
vi201102.076,V3,26
vi201102.077,root,615
vi201102.077,Bacteria,3
vi201102.077,HNA_Bacteria,2
vi201102.077,LNA_Bacteria,1
vi201102.077,Viruses,333
vi201102.077,V1,311
vi201102.077,V2,17
vi201102.077,V3,0
vi201102.079,root,20490
vi201102.079,Bacteria,2779
vi201102.079,HNA_Bacteria,2110
vi201102.079,LNA_Bacteria,669
vi201102.079,Viruses,15316
vi201102.079,V1,11049
vi201102.079,V2,2669
vi201102.079,V3,1296
vi201102.080,root,21180
vi201102.080,Bacteria,2704
vi201102.080,HNA_Bacteria,1986
vi201102.080,LNA_Bacteria,718
vi201102.080,Viruses,16097
vi201102.080,V1,11727
vi201102.080,V2,2752
vi201102.080,V3,1368
vi201102.081,root,21450
vi201102.081,Bacteria,2762
vi201102.081,HNA_Bacteria,2057
vi201102.081,LNA_Bacteria,705
vi201102.081,Viruses,16129
vi201102.081,V1,11706
vi201102.081,V2,2745
vi201102.081,V3,1376
vi201102.082,root,20940
vi201102.082,Bacteria,2742
vi201102.082,HNA_Bacteria,2012
vi201102.082,LNA_Bacteria,730
vi201102.082,Viruses,16061
vi201102.082,V1,11955
vi201102.082,V2,2568
vi201102.082,V3,1260
vi201102.083,root,20205
vi201102.083,Bacteria,2628
vi201102.083,HNA_Bacteria,1914
vi201102.083,LNA_Bacteria,714
vi201102.083,Viruses,15297
vi201102.083,V1,10964
vi201102.083,V2,2741
vi201102.083,V3,1292
vi201102.084,root,20385
vi201102.084,Bacteria,2694
vi201102.084,HNA_Bacteria,2041
vi201102.084,LNA_Bacteria,653
vi201102.084,Viruses,15496
vi201102.084,V1,11469
vi201102.084,V2,2540
vi201102.084,V3,1235
vi201102.085,root,390
vi201102.085,Bacteria,11
vi201102.085,HNA_Bacteria,9
vi201102.085,LNA_Bacteria,2
vi201102.085,Viruses,270
vi201102.085,V1,258
vi201102.085,V2,8
vi201102.085,V3,1
vi201102.086,root,630
vi201102.086,Bacteria,5
vi201102.086,HNA_Bacteria,4
vi201102.086,LNA_Bacteria,1
vi201102.086,Viruses,411
vi201102.086,V1,395
vi201102.086,V2,13
vi201102.086,V3,0
vi201102.087,root,585
vi201102.087,Bacteria,0
vi201102.087,HNA_Bacteria,0
vi201102.087,LNA_Bacteria,0
vi201102.087,Viruses,337
vi201102.087,V1,325
vi201102.087,V2,10
vi201102.087,V3,0
vi201102.088,root,975
vi201102.088,Bacteria,5
vi201102.088,HNA_Bacteria,3
vi201102.088,LNA_Bacteria,2
vi201102.088,Viruses,443
vi201102.088,V1,433
vi201102.088,V2,12
vi201102.088,V3,0
vi201102.089,root,765
vi201102.089,Bacteria,4
vi201102.089,HNA_Bacteria,1
vi201102.089,LNA_Bacteria,3
vi201102.089,Viruses,451
vi201102.089,V1,434
vi201102.089,V2,17
vi201102.089,V3,0
vi201102.090,root,540
vi201102.090,Bacteria,4
vi201102.090,HNA_Bacteria,1
vi201102.090,LNA_Bacteria,3
vi201102.090,Viruses,346
vi201102.090,V1,332
vi201102.090,V2,13
vi201102.090,V3,0
vi201102.091,root,20910
vi201102.091,Bacteria,2813
vi201102.091,HNA_Bacteria,2097
vi201102.091,LNA_Bacteria,716
vi201102.091,Viruses,15615
vi201102.091,V1,11782
vi201102.091,V2,2437
vi201102.091,V3,1123
vi201102.092,root,24900
vi201102.092,Bacteria,3073
vi201102.092,HNA_Bacteria,2242
vi201102.092,LNA_Bacteria,831
vi201102.092,Viruses,18650
vi201102.092,V1,13627
vi201102.092,V2,3098
vi201102.092,V3,1539
vi201102.093,root,20115
vi201102.093,Bacteria,2653
vi201102.093,HNA_Bacteria,1951
vi201102.093,LNA_Bacteria,702
vi201102.093,Viruses,15485
vi201102.093,V1,11266
vi201102.093,V2,2484
vi201102.093,V3,1504
vi201102.094,root,20370
vi201102.094,Bacteria,2435
vi201102.094,HNA_Bacteria,1679
