"Sample_Name","Staining_Protocol","Expt_Date","Date_Measurement","Location","Expt_No","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_HNA","c_LNA","c_Viruses","c_V1","c_V2","c_V3","VBR","HNAperLNA"
"vi201102.052","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VP",17,1,2103454.15778252,1472215.26553853,631238.892243982,9977398.7206823,8234775.97580285,1136363.2466609,606259.498218561,4.74334022624985,2.3322632423756
"vi201102.094","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VPC",17,1,1282132.19616205,696189.616068882,585942.580093165,8074797.44136461,6274352.71298467,1117104.32550992,683340.40287001,6.29794452205149,1.18815331010453
"vi201102.053","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VP",17,2,2085031.98294243,1500959.61259923,584072.370343203,9691343.28358209,7674592.94924332,1306535.91326953,710214.421069241,4.64805497607068,2.56981786643539
"vi201102.095","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VPC",17,2,1347121.53518124,791223.334418688,555898.200762549,8993347.54797441,7120817.69461807,1198979.5640411,673550.289315244,6.67597340930674,1.42332415059688
"vi201102.054","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VP",17,3,2118805.97014925,1553385.7256044,565420.244544851,9635053.30490405,7837928.89099389,1167583.87489238,629540.539017781,4.54739765728777,2.74731182795699
"vi201102.096","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VPC",17,3,1348656.71641791,799393.042358231,549263.674059679,8327078.891258,6520297.58653813,1163892.85042778,642888.454292084,6.17435021817492,1.45539033457249
"vi201102.061","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VP",20,1,2923240.93816631,2218248.06413145,704992.874034862,9175522.3880597,7263242.90180717,1263618.65413417,648660.832118354,3.13881838074398,3.1464829586657
"vi201102.108","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VPC",20,1,1285202.55863539,734328.459943961,550874.098691433,8408955.2238806,6655183.64302583,1170689.02602773,583082.554827036,6.54290264782003,1.3330241187384
"vi201102.062","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VP",20,2,2944221.74840085,2302106.36100869,642115.387392164,10484008.5287846,8455685.44681708,1289500.62731045,738822.454657113,3.56087598852872,3.58519108280255
"vi201102.109","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VPC",20,2,1384477.6119403,766087.833258954,618389.778681344,8812707.8891258,6979032.79745646,1193272.24072419,640402.85094515,6.3653668453151,1.23884297520661
"vi201102.063","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VP",20,3,2872579.95735608,2236103.35174862,636476.60560746,9372025.58635394,7410495.68638775,1266291.73502304,695238.164943154,3.26258127727799,3.51325301204819
"vi201102.110","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VPC",20,3,1355309.1684435,744602.359887698,610706.808555799,8975948.82729211,7134160.81877672,1208736.28318415,633051.725331248,6.62280536152539,1.21924686192469
"vi201102.024","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"0.22",24,1,12793.1769722814,4975.12437810945,7818.05259417199,135950533.049041,113303755.316989,19023692.5329617,3623085.19908977,10626.8,0.636363636363637
"vi201102.064","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VP",24,1,3533731.34328358,2883332.51986342,650398.823420159,12333390.1918977,10086238.196283,1538955.64423663,708196.351377999,3.49018897979871,4.43317610062893
