"Sample_Name","Staining_Protocol","Date_Measurement","Location","Expt_Date","Expt_No","Depth","Sample_Type","Timepoint","Replicate","Acquisition_Duration","Dilution","Flowrate"
"vi201102.086","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.087","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.088","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.089","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.090","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.091","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"VPC",6,1,60,20,39.0833333333333
"vi201102.092","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"VPC",6,2,60,20,39.0833333333333
"vi201102.093","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"VPC",6,3,60,20,39.0833333333333
"vi201102.094","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"VPC",17,1,60,20,39.0833333333333
"vi201102.095","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"VPC",17,2,60,20,39.0833333333333
"vi201102.096","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"VPC",17,3,60,20,39.0833333333333
"vi201102.097","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.098","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.099","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"VP",24,2,60,20,39.0833333333333
"vi201102.100","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"VP",24,3,60,20,39.0833333333333
"vi201102.102","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.103","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.104","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.105","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.106","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.107","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.108","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"VPC",20,1,60,20,39.0833333333333
"vi201102.109","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"VPC",20,2,60,20,39.0833333333333
"vi201102.110","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"VPC",20,3,60,20,39.0833333333333
"vi201102.111","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"VPC",24,1,60,20,39.0833333333333
"vi201102.112","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"VPC",24,2,60,20,39.0833333333333
"vi201102.113","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"VPC",24,3,60,20,39.0833333333333
"vi201103.001","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.002","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.003","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.004","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.005","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.006","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.011","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"0.22",0,1,60,20,39.0833333333333
"vi201103.013","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"0.22",0,2,60,20,39.0833333333333
"vi201103.014","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"0.22",0,3,60,20,39.0833333333333
"vi201103.015","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"0.22",24,1,60,20,39.0833333333333
"vi201103.016","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"0.22",24,2,60,20,39.0833333333333
"vi201103.017","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"0.22",24,3,60,20,39.0833333333333
"vi201103.018","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.019","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.020","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.021","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.022","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.023","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.024","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.025","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.026","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
