"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","Replicate","VP","VP_SE","VP_R_Squared","VP_Type"
"NJ2020","4","1","T0_T24","c_Viruses","VP","3",807867.803837953,437621.487929271,0.460033895138237,"LM_SR"
"NJ2020","5","1","T0_T24","c_Viruses","VP","1",94952.0255863536,153812.082623046,0.0869852041005241,"LM_SR"
"NJ2020","5","1","T0_T24","c_Viruses","VP","2",-23054.3710021325,102754.909273445,0.0124282523017244,"LM_SR"
"NJ2020","5","1","T0_T24","c_Viruses","VP","3",23534.1151385925,87393.7725563447,0.0178062291363254,"LM_SR"
"NJ2020","6","1","T0_T24","c_Viruses","VP","1",-96705.7569296379,394934.415047605,0.0147683863084242,"LM_SR"
"NJ2020","6","1","T0_T24","c_Viruses","VP","2",-78944.5628997873,64708.5371872124,0.271190885212924,"LM_SR"
"NJ2020","6","1","T0_T24","c_Viruses","VP","3",-218219.616204691,87456.8432885985,0.608835201092044,"LM_SR"
"NJ2020","7","1","T0_T24","c_Viruses","VP","1",-80511.7270788913,60064.2512366696,0.309957426140435,"LM_SR"
"NJ2020","7","1","T0_T24","c_Viruses","VP","2",-50466.9509594883,34781.593793187,0.34483215673002,"LM_SR"
"NJ2020","7","1","T0_T24","c_Viruses","VP","3",-12400.8528784649,32844.4679122928,0.0344120461650901,"LM_SR"
"NJ2020","1","1","T0_T12","c_Viruses","VP","1",-76332.6226012791,204725.726236751,0.0442875363825409,"LM_SR"
"NJ2020","1","1","T0_T12","c_Viruses","VP","2",35923.2409381665,247490.104779784,0.00697388463045602,"LM_SR"
"NJ2020","1","1","T0_T12","c_Viruses","VP","3",-46447.7611940297,249070.557523934,0.0114592999009782,"LM_SR"
"NJ2020","2","1","T0_T12","c_Viruses","VP","1",5691151.3859275,1880149.93497135,0.753340749991505,"LM_SR"
"NJ2020","2","1","T0_T12","c_Viruses","VP","2",2085607.67590618,866073.849568137,0.659053341124501,"LM_SR"
"NJ2020","2","1","T0_T12","c_Viruses","VP","3",3994520.25586354,1465995.04208266,0.712215016696925,"LM_SR"
"NJ2020","3","1","T0_T12","c_Viruses","VP","1",-210874.200426439,217242.644164879,0.23900931344713,"LM_SR"
"NJ2020","3","1","T0_T12","c_Viruses","VP","2",-536144.989339019,223935.543966232,0.65644246225054,"LM_SR"
"NJ2020","3","1","T0_T12","c_Viruses","VP","3",-507573.56076759,177116.380412277,0.732443792988108,"LM_SR"
"NJ2020","4","1","T0_T12","c_Viruses","VP","1",1786183.36886994,567256.818935389,0.767711927414588,"LM_SR"
