"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","Replicate","VP","VP_SE","VP_R_Squared","VP_Type","VP_Slope"
"NJ2020","6","1","T0_T24","c_Viruses","VP","2",NA,57139.2612691801,0.337682335742013,"LM_SR",-81599.1471215354
"NJ2020","6","1","T0_T3","c_Viruses","VP","3",NA,NA,1,"LM_SR",-959061.833688696
"NJ2020","6","1","T0_T6","c_Viruses","VP","3",NA,450677.896695788,0.135553526340636,"LM_SR",-178464.818763316
"NJ2020","6","1","T0_T9","c_Viruses","VP","3",NA,262849.677989116,0.61589144473248,"LM_SR",-470703.624733473
"NJ2020","6","1","T0_T12","c_Viruses","VP","3",NA,157613.730579312,0.678922844200607,"LM_SR",-396972.28144989
"NJ2020","6","1","T0_T24","c_Viruses","VP","3",NA,84896.9250909523,0.631045171921734,"LM_SR",-222057.569296374
"NJ2020","7","1","T0_T3","c_Viruses","VP","1",NA,NA,1,"LM_SR",403155.65031983
"NJ2020","7","1","T0_T6","c_Viruses","VP","1",NA,63496.2193705779,0.955194843968245,"LM_SR",293176.97228145
"NJ2020","7","1","T0_T9","c_Viruses","VP","1",NA,239615.946201276,0.109658934473132,"LM_SR",-118925.373134328
"NJ2020","7","1","T0_T12","c_Viruses","VP","1",NA,138829.142054072,0.144453326187354,"LM_SR",-98805.9701492532
"NJ2020","7","1","T0_T24","c_Viruses","VP","1",NA,60347.6030440063,0.307676866204731,"LM_SR",-80460.5543710022
"NJ2020","7","1","T0_T3","c_Viruses","VP","2",NA,NA,1,"LM_SR",240938.1663113
"NJ2020","7","1","T0_T6","c_Viruses","VP","2",NA,173500.526523637,0.105463806238011,"LM_SR",-59573.560767592
"NJ2020","7","1","T0_T9","c_Viruses","VP","2",NA,97753.7471034377,0.580305420239802,"LM_SR",-162558.635394456
"NJ2020","7","1","T0_T12","c_Viruses","VP","2",NA,80113.4092786735,0.175761012545811,"LM_SR",-64076.7590618339
"NJ2020","7","1","T0_T24","c_Viruses","VP","2",NA,34902.3005495184,0.345932359256347,"LM_SR",-50765.4584221748
"NJ2020","7","1","T0_T3","c_Viruses","VP","3",NA,NA,1,"LM_SR",-242985.074626866
"NJ2020","7","1","T0_T6","c_Viruses","VP","3",NA,42002.5398395532,0.942616034487366,"LM_SR",-170234.541577825
"NJ2020","7","1","T0_T9","c_Viruses","VP","3",NA,18891.7624001934,0.97497038773237,"LM_SR",-166746.268656716
"NJ2020","7","1","T0_T12","c_Viruses","VP","3",NA,74224.0462696132,0.086587259157327,"LM_SR",-39582.0895522386
"NJ2020","7","1","T0_T24","c_Viruses","VP","3",NA,33081.5741237622,0.0341178124884446,"LM_SR",-12434.9680170575
"NJ2020","1","1","T0_T3","c_V1","VP","1",NA,NA,1,"LM_SR",-101227.972874563
"NJ2020","1","1","T0_T6","c_V1","VP","1",NA,7737.73323287556,0.995464181689118,"LM_SR",-114630.119969318
"NJ2020","1","1","T0_T17","c_V1","VP","1",NA,44477.9402103498,0.516226768919989,"LM_SR",64976.9030904083
"NJ2020","1","1","T0_T20","c_V1","VP","1",NA,33148.7263177522,0.242297454282809,"LM_SR",32467.7748620701
"NJ2020","1","1","T0_T24","c_V1","VP","1",NA,43834.2802304158,0.512356367812469,"LM_SR",89862.5350013221
"NJ2020","1","1","T0_T3","c_V1","VP","2",NA,NA,1,"LM_SR",-15143.1441850765
"NJ2020","1","1","T0_T6","c_V1","VP","2",NA,23583.4009361673,0.849321363106855,"LM_SR",-55990.7928217873
"NJ2020","1","1","T0_T17","c_V1","VP","2",NA,28221.4622252281,0.662129797881467,"LM_SR",55871.6028187348
"NJ2020","1","1","T0_T20","c_V1","VP","2",NA,23304.8669809463,0.805661052147327,"LM_SR",82187.0735640675
"NJ2020","1","1","T0_T24","c_V1","VP","2",NA,19651.8717047978,0.730689596357711,"LM_SR",64740.1665611332
"NJ2020","1","1","T0_T3","c_V1","VP","3",NA,NA,1,"LM_SR",-148487.228916433
"NJ2020","1","1","T0_T6","c_V1","VP","3",NA,27446.002237764,0.980773356081543,"LM_SR",-196025.09925689
"NJ2020","1","1","T0_T17","c_V1","VP","3",NA,64661.041236559,0.328865982285558,"LM_SR",64012.1687862534
"NJ2020","1","1","T0_T20","c_V1","VP","3",NA,38946.2862423416,0.391463604398892,"LM_SR",54103.9652124563
